customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AvgChargesPerMonth,tenure_group,HighMonthlyCharges,LongTenure,HighCharge_LongTenure,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Payment_Month-to-month_Credit card (automatic),Contract_Payment_Month-to-month_Electronic check,Contract_Payment_Month-to-month_Mailed check,Contract_Payment_One year_Bank transfer (automatic),Contract_Payment_One year_Credit card (automatic),Contract_Payment_One year_Electronic check,Contract_Payment_One year_Mailed check,Contract_Payment_Two year_Bank transfer (automatic),Contract_Payment_Two year_Credit card (automatic),Contract_Payment_Two year_Electronic check,Contract_Payment_Two year_Mailed check
9763-GRSKD,-0.440327089412664,-0.791320501614164,-0.4935610235167579,-0.7481879571842651,0,-0.6497193303219193,13-24,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
7469-LKBCI,-0.440327089412664,-0.6690886177852331,-1.5240147679735105,-0.8631834699626608,0,-1.4701431137926153,13-24,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
8091-TTVAX,-0.440327089412664,1.0421577558197987,1.181757322309704,1.4990665744239262,0,1.0982923900556543,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0280-XJGEX,-0.440327089412664,0.6754621043330061,1.2931128075977727,1.2145888969272465,1,1.2583663900256645,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5129-JLPIS,-0.440327089412664,-0.3023929662984406,1.3529456056630036,0.17768805707524432,0,1.4127662991498533,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
3655-SNQYZ,-0.440327089412664,1.4903413298592119,1.6105590417771916,2.475877681529266,0,1.6440319679709485,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
8191-XWSZG,-0.440327089412664,0.797693988161937,-1.4675060142452372,-0.5560508161330804,0,-1.4950864943337954,49-60,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
9959-WOFKT,-0.440327089412664,1.5718292524118322,1.3928341377064908,2.2495926306793175,0,1.2979148123630952,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4190-MFLUW,-0.440327089412664,-0.9135523854430948,-0.3190486958265014,-0.7742621363716935,1,-0.3963863297910362,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
4183-MYFRB,-0.440327089412664,-0.46536881140368175,0.8393807556031058,-0.18547540482207542,0,0.7921515694160716,13-24,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
8779-QRDMV,2.271039016322759,-1.2802480369298874,-0.8359375902233565,-0.9898704505662146,1,-0.8332108653374978,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1680-VDCWW,-0.440327089412664,-0.8320644628904743,-1.495760391109374,-0.9181333687409043,0,-1.5884463077514437,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1066-JKSGK,-0.440327089412664,-1.2802480369298874,-1.4841262359300234,-0.9984736061356706,1,-1.479253978204847,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
3638-WEABW,-0.440327089412664,1.0421577558197987,-0.16281861198951006,0.5390426503656527,0,-0.14466942568205765,49-60,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
6322-HRPFA,-0.440327089412664,0.6754621043330061,-0.17279074500038175,0.3030955940300073,0,-0.13852013135993813,49-60,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6865-JZNKO,-0.440327089412664,-0.09867315991688919,-0.3157246514895444,-0.33208199947490835,0,-0.45651803491176657,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6467-CHFZW,-0.440327089412664,0.5939741817803856,1.1485168789401314,1.0879019163236925,1,1.200855699299734,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
8665-UTDHZ,-0.440327089412664,-1.2802480369298874,-1.150059780065818,-0.9940396721114126,1,-1.1462932969578283,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
5248-YGIJN,-0.440327089412664,1.6125732136881425,0.8460288442770204,1.802757966025724,0,0.7840365895337481,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
8773-HHUOZ,-0.440327089412664,-0.6283446565089229,-0.0032644838155611237,-0.5251015154562937,1,-0.016546109841079442,13-24,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
3841-NFECX,2.271039016322759,1.5718292524118322,1.0487955488314133,1.9781299834030968,0,1.0108000941635427,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4929-XIHVW,2.271039016322759,-1.2395040756535771,1.0205411719672768,-0.9272218305219706,0,0.8622381757387381,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6827-IEAUQ,-0.440327089412664,-0.22090504374582004,0.044934159070319335,-0.18037968960016687,0,0.1532165960757254,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
7310-EGVHZ,-0.440327089412664,-1.2802480369298874,-1.4824642137615447,-0.9984515467624158,0,-1.477597457402623,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3413-BMNZE,2.271039016322759,-1.2802480369298874,-0.6497911073537496,-0.9873998007616529,0,-0.6476805354884129,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6234-RAAPL,-0.440327089412664,1.6125732136881425,1.1667991227933967,2.1919956071104716,0,1.1899992222454423,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6047-YHPVI,-0.440327089412664,-1.1172721918246462,0.1629377330323022,-0.8675512258671538,1,-0.047026092602000594,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
6572-ADKRS,-0.440327089412664,0.5532302205040753,0.3324639942171226,0.5581019488579861,0,0.408747600469032,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
5380-WJKOV,-0.440327089412664,0.06430268518835193,1.3811999825271402,0.5585210769498313,1,1.3116425251420887,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
8168-UQWWF,-0.440327089412664,-0.8728084241667845,1.0986562138857725,-0.5196749096355598,1,1.1824737653686725,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8865-TNMNX,-0.440327089412664,-0.9135523854430948,-0.5068572008645872,-0.7974906564092247,0,-0.5708179702652205,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
9489-DEDVP,-0.440327089412664,1.5310852911355222,0.14631751134751586,1.142256212024051,0,0.15921074727488427,61-72,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
9867-JCZSP,-0.440327089412664,-0.6283446565089229,-1.4641819699082799,-0.8228368762792375,0,-1.3317261844067827,13-24,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
4671-VJLCL,-0.440327089412664,1.24587756220135,0.5003282332334644,1.1374472686544572,0,0.40970561595023525,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4080-IIARD,-0.440327089412664,-0.791320501614164,0.3790006149345245,-0.5743600959347432,0,0.35438712517999627,13-24,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
3714-NTNFO,-0.440327089412664,0.6754621043330061,0.6548962949019775,0.7162235363499369,0,0.4946088805594607,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
5948-UJZLF,-0.440327089412664,-1.2395040756535771,-0.5168293338754589,-0.9645683494427119,0,-0.5400066833438546,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
7760-OYPDY,-0.440327089412664,-1.2395040756535771,0.526920587929123,-0.9437663604632323,1,0.24104287490474846,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
7639-LIAYI,-0.440327089412664,0.797693988161937,0.4970041888965074,0.8534769567426433,0,0.5404271537374578,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2954-PIBKO,-0.440327089412664,1.4903413298592119,-0.021546727668825993,0.8694920617257846,0,-0.10422167461965812,61-72,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
8012-SOUDQ,2.271039016322759,0.4309983366751445,0.8460288442770204,0.6862448480963709,0,0.8108282452604147,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
9420-LOJKX,-0.440327089412664,-0.7098325790615434,1.1402067680977384,-0.3780537333383605,1,1.0036498348885912,13-24,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6575-SUVOI,2.271039016322759,-0.3023929662984406,0.15628964435838757,-0.23411632284938455,0,0.1758090857131686,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
7495-OOKFY,2.271039016322759,-0.9950403079957154,0.526920587929123,-0.727959511909416,1,0.47585469861999624,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
4667-QONEA,2.271039016322759,1.1236456783724194,0.33412601638560113,0.9587222265423222,0,0.3138469641624922,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1658-BYGOY,2.271039016322759,-0.5876006952326126,1.0188791497987983,-0.23416044159589464,1,1.0788742850962505,13-24,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
8769-KKTPH,-0.440327089412664,1.24587756220135,1.1584890119510036,1.7770587961836308,0,1.1720995946880777,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
5067-XJQFU,2.271039016322759,1.368109446030281,1.451004913603243,2.114633385105133,0,1.405326010867864,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
3957-SQXML,-0.440327089412664,0.06430268518835193,-1.3245721077560746,-0.6128095835182352,0,-1.2754044771311677,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
5954-BDFSG,-0.440327089412664,1.6125732136881425,1.419426492402149,2.457590461100858,0,1.4670063119506733,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0434-CSFON,-0.440327089412664,0.5939741817803856,1.1867433888151402,1.0693499834162248,0,1.1712145504769609,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1215-FIGMP,-0.440327089412664,1.1236456783724194,0.8343946890976701,1.3974169824648146,0,0.8629007840596276,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0526-SXDJP,-0.440327089412664,1.6125732136881425,-0.7544985039679034,0.2994337380696746,0,-0.7838833570046062,61-72,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0557-ASKVU,-0.440327089412664,-0.5876006952326126,-0.3456410505221597,-0.5851030107099358,0,-0.38521401726937005,13-24,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
5698-BQJOH,-0.440327089412664,-0.9542963467194051,0.9839766842607471,-0.6291555791002016,1,1.0088402667355596,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
5122-CYFXA,-0.440327089412664,-1.1987601143772668,0.3490842159019089,-0.8996696733264564,0,0.5488796573180363,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
8627-ZYGSZ,-0.440327089412664,0.5939741817803856,0.4687498120323708,0.6031251296714726,0,0.42630886632794657,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
3410-YOQBQ,-0.440327089412664,-0.05792919864057891,0.4787219450432425,0.09436980429105073,0,0.5219834593464427,25-48,1.000853606642837,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3170-NMYVV,-0.440327089412664,0.7162060656093164,-1.4841262359300234,-0.5966621222955638,0,-1.5300097755849897,49-60,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7410-OIEDU,-0.440327089412664,-0.9135523854430948,0.5003282332334644,-0.6158758364006823,0,0.7929956062057759,0-12,1.000853606642837,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2273-QCKXA,-0.440327089412664,-1.2802480369298874,-0.5234774225493735,-0.9857232883942716,0,-0.521784954519391,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0731-EBJQB,-0.440327089412664,0.797693988161937,-1.4758161250876303,-0.5261824247457894,0,-1.451953241137425,49-60,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1891-QRQSA,2.271039016322759,1.2866215234776603,1.5557123102173966,2.124626281189655,0,1.528056005682636,61-72,1.000853606642837,1.4631089525584626,2.0219490246236567,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8028-PNXHQ,-0.440327089412664,1.2051336009250397,-1.3478404181147754,-0.3788478707755411,0,-1.385580398646827,61-72,-0.9991471213800188,1.4631089525584626,-0.4945723100937865,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5630-AHZIL,-0.440327089412664,-1.1987601143772668,-0.009912572489475751,-0.929096877248647,0,-0.18771992607088986,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2673-CXQEU,2.271039016322759,0.9606698332671781,1.5191478225108668,1.7013069084259078,0,1.485385804661063,49-60,1.000853606642837,1.4631089525584626,2.0219490246236567,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
6416-JNVRK,-0.440327089412664,0.5532302205040753,-0.30409049631019386,0.17892338197752508,0,-0.21025100973592184,25-48,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
5590-ZSKRV,-0.440327089412664,-0.9950403079957154,-0.3373309396797665,-0.7946008785128177,0,-0.14968896931983114,0-12,-0.9991471213800188,-0.6834760994738991,-0.4945723100937865,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
